Ticker,Datetime,Signal Price,Trading Price,Shares,Direction,Free Cash,NR,id
AKSO.OL,2023-08-08 - 15:15:00,44.5,44.44,535.0,Sell,22732.71,80,cf36f753-9f13-4bb4-9e41-3760c117bb20
FRO.OL,2023-08-09 - 09:00:00,176.52,179.5,203.0,Sell,57132.93,81,56017425-415d-47d6-ae7a-d9cae4e2d145
DNO.OL,2023-08-09 - 09:00:00,9.995,9.995,320.0,Sell,60203.39,82,4ec2a685-8bbd-4b71-8ca1-7855d4037ccc
SDRL.OL,2023-08-09 - 09:00:00,480.0,482.0,32.0,Sell,74948.99,83,b9782e6a-e365-4883-8560-304bc681023a
SCATC.OL,2023-08-09 - 09:00:00,80.0,80.6,283.0,Sell,96683.39,84,52a10c8d-bb5d-4330-b166-a522068a53d8
MPCC.OL,2023-08-09 - 09:15:00,18.485,18.42,649.0,Buy,84206.76,85,6688c298-99ec-499d-83d0-c399cafa838f
AKRBP.OL,2023-08-09 - 09:30:00,281.7,281.4,42.0,Buy,71902.1,86,439e4d8d-6c44-4963-b75f-8562bea7fa50
AKRBP.OL,2023-08-09 - 09:45:00,282.1,281.8,42.0,Buy,59579.97,87,589ec723-a8a5-45b9-a140-553cb6a31228
AKRBP.OL,2023-08-09 - 10:00:00,281.0,281.8,42.0,Buy,47305.89,88,b4f9ff2c-6afc-4e98-82a5-e8797e27282f
SHLF.OL,2023-08-09 - 10:45:00,26.65,26.65,300.0,Buy,38991.09,89,ec417049-6f2b-4182-9cba-ccd8188c4f0d
SHLF.OL,2023-08-09 - 11:00:00,26.7,26.7,299.0,Buy,30688.46,90,9fed7102-b90f-44b9-a24b-df9445d8fe6b
SHLF.OL,2023-08-09 - 11:15:00,26.55,26.55,301.0,Buy,22377.25,91,adc749a6-db59-4934-87ac-3dbd70423584
RECSI.OL,2023-08-09 - 11:30:00,16.305,16.34,989.0,Sell,37857.87,92,2853a4a9-e5cf-4d20-bcdf-b22398200ac7
SHLF.OL,2023-08-09 - 12:30:00,26.6,26.6,900.0,Sell,60840.27,93,f01c479f-de02-4c1f-b042-73266f3f2ae9
SHLF.OL,2023-08-09 - 13:15:00,26.75,26.75,299.0,Buy,52522.09,94,5467aca9-07e7-48a3-9be2-96d05f44530c
SHLF.OL,2023-08-09 - 13:30:00,26.8,26.8,298.0,Buy,44216.23,95,f03888e5-934f-4df8-8872-11f5200521bf
SHLF.OL,2023-08-09 - 13:45:00,26.7,26.7,597.0,Sell,59518.54,96,af9eb0f7-1009-45a2-8f80-740c830c2add
SHLF.OL,2023-08-09 - 14:00:00,26.95,26.95,296.0,Buy,51222.25,97,6547197f-f1c7-4077-be43-6688606d1524
SHLF.OL,2023-08-09 - 14:15:00,27.0,27.0,296.0,Buy,42910.57,98,b5c34c6a-0734-471d-8985-56a52ff919c1
SHLF.OL,2023-08-09 - 14:30:00,26.85,26.85,297.0,Buy,34617.14,99,cc9ecb85-029e-4e33-a1a7-62dd3aa5e310
SHLF.OL,2023-08-09 - 14:45:00,26.75,26.75,889.0,Sell,57446.66,100,829ef71f-e95f-4666-aafb-4b5420fe6aa5
SDRL.OL,2023-08-10 - 09:00:00,483.5,487.0,16.0,Buy,49401.22,101,95658300-c280-497d-89af-57bfd05e0cfb
AUTO.OL,2023-08-10 - 11:00:00,23.68,23.74,506.0,Buy,36939.86,102,d29cb18c-9f30-4446-b155-0ebbf6d302d9
SHLF.OL,2023-08-10 - 11:00:00,27.75,27.75,288.0,Buy,28628.18,103,03a47d73-d99a-40d1-855f-8ed5a13c3c80
SHLF.OL,2023-08-10 - 11:15:00,27.8,27.8,287.0,Buy,20345.41,104,d9080f9c-2718-45ee-9a89-3f7ed83f4ce5
SHLF.OL,2023-08-10 - 11:30:00,27.7,27.7,288.0,Buy,12048.71,105,80e9f9c5-d325-4ad2-ab80-d92f75cbdf57
SHLF.OL,2023-08-10 - 12:15:00,27.45,27.45,863.0,Sell,34790.48,106,123589bb-ba09-40ac-97ba-9a1bf8897fc7
BWLPG.OL,2023-08-10 - 13:30:00,115.2,114.7,104.0,Buy,22330.45,107,fc20646d-3169-4199-84b0-8dcbeb732599
AKRBP.OL,2023-08-10 - 13:45:00,286.6,286.3,126.0,Sell,56997.59,108,68c2d516-15a0-4800-8a1d-2f25e022912a
BWLPG.OL,2023-08-10 - 13:45:00,115.0,115.0,104.0,Buy,44559.19,109,9b700db8-5042-4be3-950c-b297a554d696
DNO.OL,2023-08-10 - 13:45:00,10.19,10.19,785.0,Buy,36240.07,110,faba7f41-05dd-4281-9977-b5d969ed2ff1
SCATC.OL,2023-08-10 - 14:30:00,79.850,80.3,100.0,Buy,19622.16,112,a3d216f4-db05-4d67-82b6-d93ea2624dda
